bin	m_XX	m_XX_u	m_YY	m_YY_u	m_ZZ	m_ZZ_u	p_XX	p_XX_u	p_YY	p_YY_u	p_ZZ	p_ZZ_u	m_F	m_F_u	p_F	p_F_u
50	0.55191567390988583	0.067958829763367659	0.13293157270558528	0.071785313944882481	0.33913653064512084	0.064748568483120536	0.54609072678031578	0.067165901533491487	0.21339442651994761	0.075325503737771971	0.31168936387513857	0.06312623795335072	0.50599594431514805	0.029542248308127586	0.51779362929385053	0.029759569637659026
100	0.31034682545271081	0.060775991885075341	0.25041496125777302	0.070286987042414761	0.1701410750088215	0.060440595106714651	0.24043486788740515	0.061654137272552804	0.16977176541052838	0.072720334628469468	0.19473964681346467	0.061802415672522371	0.4327257154298263	0.027711738570921015	0.40123657002784952	0.028404465201639733
150	0.18965277804565259	0.062275952967572649	0.090827387944871926	0.069163736701194078	0.17167493420318219	0.056990337909550333	0.28579600075048378	0.061769941006497402	0.26103213596386021	0.068883677216000541	0.089621200685478894	0.060174291825920101	0.36303877504842669	0.027283025179972428	0.4091123343499557	0.027592381189713532
200	0.17829055394845866	0.062162770814859304	0.040698868842663764	0.061504814708172213	0.031671741942018383	0.062205580762401326	0.075366983154567635	0.060447017317676009	-0.024720660827529672	0.068322897323785353	0.1542616641207615	0.05924578254320928	0.31266529118328523	0.026828840109170478	0.30122699661194985	0.027193660739312456
250	0.083294568572186048	0.060347999035529239	-0.03991019705571186	0.068236731424242233	0.080474769219958761	0.057199641473394645	0.059722097322129165	0.06253499962258352	0.19940268382257931	0.069277925879481381	0.12243773631737265	0.061508018704339681	0.28096478518410822	0.026890904000866741	0.34539062936552029	0.027943350681437659
300	-0.072305452907156717	0.1478995444052528	-0.13414263952373207	0.070363166185525378	-0.042002580157875981	0.1487072690269044	0.029207080980590966	0.14373375742303296	-0.047417156556035102	0.066531957285418566	0.038498539520584206	0.14594529754029328	0.18788733185280881	0.05530545986404356	0.25507211598628504	0.053843479315800614
350	0.026732362327413193	0.15179733875992876	0.16111168387838004	0.071469461854434854	0.49808553309870629	0.16494511364116149	-0.05165854986412198	0.15605965609687772	-0.11786926615431523	0.066466637284872135	0.1849624552415827	0.15303922271858056	0.42148239482612487	0.0588202805939705	0.25385865980578637	0.057114705759190101
400	0.18026100556254684	0.15695457329861748	0.041867455918999714	0.076299750670043395	0.10492153994522121	0.19586542746663538	0.15908556347378708	0.1609895464133983	-0.020369901062008425	0.07593535798702479	-0.16800656883407142	0.14737139431888877	0.33176250035669197	0.065583751659781211	0.2426772733944268	0.057772257891711497
