bin	m_XX	m_XX_u	m_YY	m_YY_u	m_ZZ	m_ZZ_u	p_XX	p_XX_u	p_YY	p_YY_u	p_ZZ	p_ZZ_u	m_F	m_F_u	p_F	p_F_u
50	0.96373474700840145	0.086703956344793345	0.49856395919063512	0.096832043712053284	0.51116815242784286	0.091984543102649419	0.99876525092225421	0.084598348906294016	0.44171487151702149	0.08852201217517805	0.50296247816921202	0.089233781116939234	0.74336671465671988	0.03980827246400552	0.73586065015212188	0.037877842277543386
100	0.84364064066300792	0.090488398937332737	0.29169274904553322	0.093707365010087348	0.37460621582466758	0.095409467188274658	0.90534798430461116	0.090686463675058268	0.22766748849155855	0.094601380326032075	0.27164192027804496	0.088606365539688842	0.62748490138330215	0.040367210570992892	0.60116434826855358	0.039547869623115593
150	0.63387250865049727	0.10266622997018951	0.37577643407970163	0.10268896673877421	0.35235322154452581	0.10567436549212762	0.65588416887021384	0.097400289045230182	0.41159107041595278	0.098425519680765419	0.15493685503948695	0.09103714494282393	0.59050054106868122	0.044897417929885372	0.55560302358141334	0.041429277834238082
200	0.51045122008463739	0.10414910737093636	0.28841169702074038	0.10859489355172447	0.27059543314224138	0.10011939418484514	0.48190243590652659	0.10043085471996048	0.26786474058368259	0.10097182873229385	0.11114144989882585	0.10174676453984789	0.51736458756190484	0.045182809620760087	0.46522715659725877	0.043756478714337792
250	0.49097556843935419	0.10005523214842411	0.030742398831956466	0.10265977725024057	0.26509495489901341	0.10703750742648611	0.50130032387450041	0.10237412368675249	0.14254403168659699	0.099524483856018392	0.04833089290967383	0.1076090916561222	0.44670323054258104	0.044726325680058888	0.42304381211769282	0.044697106096545189
300	0.32264547357653106	0.097015679656751702	0.055467027204606133	0.10212610580191024	-0.0076966940863992129	0.1037794981790864	0.38250866947747464	0.10253269899776109	0.083862863352201639	0.10698228974976547	0.081662860765840908	0.10581486860483939	0.34260395167368451	0.04374069031507407	0.3870085983988793	0.045521252661344679
350	0.49420322690117985	0.1027200839107472	0.12614871067671735	0.10874176685585935	0.1322482745870332	0.11345024427232979	0.61282801635736217	0.096389006766977536	0.0013486370939317374	0.10452619125264077	0.14080865800802395	0.11032586575468024	0.43815005304123261	0.046935557831334226	0.43874632786482948	0.044991917286488665
400	0.4899895345008608	0.10402635083238533	0.1489297138789254	0.11268531574239356	0.10285192325613669	0.10018117161580985	0.53879509253893287	0.11116034441554112	0.03254374858205375	0.10414845262806025	0.097419636831043391	0.10862915991305168	0.43544279290898069	0.045795557370353755	0.41718961948800748	0.046773267431044672
