bin	m_XX	m_XX_u	m_YY	m_YY_u	m_ZZ	m_ZZ_u	p_XX	p_XX_u	p_YY	p_YY_u	p_ZZ	p_ZZ_u	m_F	m_F_u	p_F	p_F_u
50	0.72392983727102422	0.076995897980855474	0.44453048464071504	0.078848550740291651	0.4513063415322196	0.078338203430549577	0.80015487944042818	0.083128632724604731	0.40257315370274771	0.077227741772413483	0.41830771225819302	0.080580675847556946	0.65494166586098967	0.033803047547936435	0.65525893635034227	0.034792006084352421
100	0.63769630704864577	0.080078198473252524	0.41680255887621653	0.079436598478275777	0.32776385666832197	0.082403217832126299	0.78788238393669774	0.079490273048859764	0.33010900752911904	0.08323176520274754	0.31497225821586272	0.078158262579286458	0.59556568064829607	0.034922218355233112	0.60824091242041989	0.034780512016034451
150	0.64800003091520908	0.080001390181024645	0.2088926815958409	0.082516413656519585	0.30580236425828589	0.082271892262163152	0.63635527035818018	0.084471083451689452	0.35134380961958156	0.0829519821979256	0.11752324966776974	0.079191533422481211	0.54067376919233401	0.035335751380531182	0.52630558241138292	0.035608719311314055
200	0.57119070703331709	0.085537161176447857	0.21256334331833324	0.084061840973050181	0.36958743132595895	0.087977600339963283	0.54566041843731428	0.083704371141075193	0.17055548939696907	0.082499772790892725	0.062092422028599804	0.078047435644458027	0.53833537041940227	0.037184554262726398	0.44457708246572081	0.035270416489378537
250	0.42726803118571594	0.084814389837231649	0.21410123470586739	0.085454879355123664	0.21517600085342398	0.085943575549617068	0.54633040991792159	0.09199750991394974	0.11056722135959704	0.089615871210935283	0.29515143176457559	0.083269117756990016	0.46413631668625183	0.036981680690675568	0.48801226576052359	0.038265758335038987
300	0.4105182081843825	0.086265305794973476	0.078599667100708343	0.085243273752935556	0.2177989986489087	0.085202165125729604	0.34562022446894669	0.081929168867044808	0.12114177950074327	0.089487794584782412	0.094297179068384751	0.080150597280779473	0.42672921848349987	0.037053616259187759	0.39026479575951867	0.036352933457424255
350	0.2902783175262173	0.087343373141256439	0.16740752335631118	0.093084755380826251	0.026789038446083036	0.08885007272449312	0.53752612582078274	0.090407926984599499	0.17890612197084227	0.086939261875038629	0.047032272790162706	0.085622699795304291	0.37111871983215289	0.038881206851084184	0.44086613014544695	0.037966494469849676
400	0.39298418045003741	0.094100761536119154	-0.021834955098665468	0.09140416281554084	0.19594651862493728	0.085875448577884123	0.39024336460065645	0.089746474961470396	0.02477454180726036	0.089004609881825542	0.18145062565395789	0.08541803488779616	0.39177393599407728	0.039198427081118543	0.39911713301546869	0.03813830999821452
