bin	m_XX	m_XX_u	m_YY	m_YY_u	m_ZZ	m_ZZ_u	p_XX	p_XX_u	p_YY	p_YY_u	p_ZZ	p_ZZ_u	m_F	m_F_u	p_F	p_F_u
50	0.71803430467078211	0.080270477087410155	0.28975511265375414	0.077069172493254956	0.43617336143985952	0.083913664228567136	0.56950261538053237	0.077538696632474896	0.37397387175143881	0.083633421979509431	0.35348667507228448	0.078456058807270121	0.61099069469109901	0.034842960089611567	0.57424079055106392	0.034606856176771075
100	0.37184417707556988	0.076598602871846583	0.17969072634822228	0.079714893787658878	0.26032872196799656	0.079234679517335482	0.45249582634941882	0.080530615719935972	0.22968883443162136	0.076430365208270526	0.24242544978076172	0.079976611274199666	0.4529659063479472	0.034003625442472547	0.48115252764045047	0.034208039209561225
150	0.33707524342569439	0.082282432920353685	0.39383260320789493	0.084443709211536239	0.25961172965996004	0.079719871950174118	0.40514486729734978	0.080258073262220564	0.10642935106668265	0.080944918936438945	0.14598550425550105	0.082229973649486282	0.49762989407338731	0.035581242228566824	0.41438993065488339	0.035138304234647054
200	0.22772987093467056	0.081040260227035477	0.14865765769922967	0.082836652372375585	0.15230465975517873	0.08638771993982565	0.19146144518144495	0.080425256478470736	0.14304954205410952	0.078732275842067059	0.20540107470778718	0.079465616097582084	0.38217304709726974	0.036135398944740785	0.38497801548583543	0.034443592728426495
250	0.16743441436834391	0.073257634941646402	0.13511854352141411	0.084002908758612535	0.10808634176646986	0.076343574264856134	0.16500948754592026	0.079543331179523086	0.081217028213480397	0.079524189048145913	0.026326168123373579	0.082815473610077475	0.35265982491405695	0.033774538383859631	0.31813817097069358	0.034919228986478548
300	0.1925469371634819	0.078268088336643019	0.012665884853965026	0.08223016985328295	-0.0077322549701288037	0.07646510968055531	0.12358086015017077	0.07549084549983863	0.046701872940809054	0.087520334302073968	-0.03963220924428363	0.082262513217403743	0.29937014176182952	0.03421860557908489	0.28266263096167404	0.035466355316932777
350	0.30010112525921989	0.080034092475269075	0.046491984292320848	0.081275359918998896	-0.032795710936277922	0.078881767657702148	0.27333165905096868	0.07798220588334269	0.012441141799225361	0.08459029225726851	0.081323265905513878	0.081770031503520718	0.32844934965381573	0.034671199644938054	0.34177401668892698	0.035287285272716254
400	0.22031776055422944	0.081903231605145857	0.1019710259268863	0.086120565357429235	-0.11304152633345949	0.083511926874677234	0.20238466284704354	0.08711111484129419	-0.040808756654601347	0.080546299999627133	0.11421992302844371	0.085155834415499426	0.30231181503691407	0.036313851571379445	0.31894895730522149	0.036509903543014047
